"nom;secteur;departement;points;nouveaux_clients;evolution_nc;clients_mouvementes;evolution_cm;mandats;evolution_mandats"
"CRIT ANDREZIEUX BOUTHEON;GENERALISTE;42;0;0;0;28;-7;0;0"
"CRIT ANNECY;GENERALISTE;74;6;6;3;31;-4;0;0"
"CRIT BOURG-EN-BRESSE;GENERALISTE;01;1;1;0;22;-2;0;0"
"CRIT BOURGOIN-JALLIEU;GENERALISTE;38;0;0;0;19;-7;0;0"
"CRIT BRIGNAIS;GENERALISTE;69;0;0;0;28;-17;0;0"
"CRIT CHAMBERY IND - LOG - BTP;GENERALISTE;73;2;1;1;29;-4;1;1"
"CRIT CHANAS;GENERALISTE;38;2;1;1;28;-9;1;1"
"CRIT CLERMONT-FERRAND BTP;BTP;63;0;0;0;19;-1;0;0"
"CRIT CLERMONT-FERRAND BTP 2ND OEUVRE;BTP;63;3;1;1;23;-4;2;2"
"CRIT CLERMONT-FERRAND INDUS AERO DISTRIB;INDUSTRIE;63;2;2;1;20;7;0;0"
"CRIT CLERMONT-FERRAND LOGISTIQUE;GENERALISTE;63;1;1;1;36;-6;0;0"
"CRIT CLERMONT-FERRAND TERTIAIRE SUPPORT & CADRES;TERTIAIRE;63;1;1;0;21;-2;0;0"
"CRIT DECINES;GENERALISTE;69;3;2;2;40;-10;1;1"
"CRIT GRENOBLE INDUSTRIE-BTP-LOGISTIQUE;GENERALISTE;38;0;0;0;9;-1;0;0"
"CRIT GRENOBLE TERTIAIRE-INGENIERIE-CADRES;TERTIAIRE;38;0;0;0;10;-3;0;0"
"CRIT ISSOIRE;GENERALISTE;63;9;3;1;40;-8;6;6"
"CRIT L'ARBRESLE;GENERALISTE;69;1;1;1;11;-1;0;0"
"CRIT LE PUY EN VELAY;GENERALISTE;43;1;1;0;21;-1;0;0"
"CRIT LIMAS;GENERALISTE;69;0;0;0;13;-4;0;0"
"CRIT LYON;TERTIAIRE;69;1;1;0;6;6;0;0"
"CRIT LYON BTP SECOND OEUVRE;BTP;69;2;2;0;14;-10;0;0"
"CRIT LYON EVENEMENTIEL;EVENEMENTIEL;69;1;1;0;4;8;0;0"
"CRIT LYON EXPERTS & CADRES;EXPERT & CADRE;69;1;1;0;18;-13;0;0"
"CRIT MONISTROL-SUR-LOIRE;GENERALISTE;43;9;2;1;25;0;7;7"
"CRIT MONTELIMAR;GENERALISTE;26;3;3;2;22;-1;0;0"
"CRIT MONTLUCON;GENERALISTE;03;4;3;2;26;-7;1;1"
"CRIT RIOM;INDUSTRIE;63;1;1;1;26;1;0;0"
"CRIT ROANNE;GENERALISTE;42;9;7;2;58;-5;2;2"
"CRIT SAINT QUENTIN FALLAVIER;GENERALISTE;38;0;0;0;31;-16;0;0"
"CRIT SAINT VULBAS NUCLEAIRE;GENERALISTE;01;2;0;0;36;-9;2;2"
"CRIT THIERS;GENERALISTE;63;3;3;1;35;-9;0;0"
"CRIT VALENCE;GENERALISTE;26;4;4;1;29;1;0;0"
"CRIT VICHY;GENERALISTE;03;1;1;0;19;-5;0;0"
"CRIT VIENNE;GENERALISTE;38;4;0;0;47;-29;4;4"
"CRIT VOIRON;GENERALISTE;38;22;0;0;22;11;0;0"
